[Epoch 1] Batch 43700/44996 | Loss: 0.0000
[Epoch 1] Batch 43800/44996 | Loss: 0.0000
[Epoch 1] Batch 43900/44996 | Loss: 0.0000
[Epoch 1] Batch 44000/44996 | Loss: 0.0000
[Epoch 1] Batch 44100/44996 | Loss: 0.0000
[Epoch 1] Batch 44200/44996 | Loss: 0.0000
[Epoch 1] Batch 44300/44996 | Loss: 0.0000
[Epoch 1] Batch 44400/44996 | Loss: 0.0000
[Epoch 1] Batch 44500/44996 | Loss: 0.0000
[Epoch 1] Batch 44600/44996 | Loss: 0.0033
[Epoch 1] Batch 44700/44996 | Loss: 0.0000
[Epoch 1] Batch 44800/44996 | Loss: 0.0000
[Epoch 1] Batch 44900/44996 | Loss: 0.0000
[Epoch 2] Batch 0/44996 | Loss: 0.0000
[Epoch 2] Batch 100/44996 | Loss: 0.0000
[Epoch 2] Batch 200/44996 | Loss: 0.0000
[Epoch 2] Batch 300/44996 | Loss: 0.0000
[Epoch 2] Batch 400/44996 | Loss: 0.0000
[Epoch 2] Batch 500/44996 | Loss: 0.0008
[Epoch 2] Batch 600/44996 | Loss: 0.0000
[Epoch 2] Batch 700/44996 | Loss: 0.0000
[Epoch 2] Batch 800/44996 | Loss: 0.0000
[Epoch 2] Batch 900/44996 | Loss: 0.0000
[Epoch 2] Batch 1000/44996 | Loss: 0.0000
[Epoch 2] Batch 1100/44996 | Loss: 0.0000
[Epoch 2] Batch 1200/44996 | Loss: 0.0000
[Epoch 2] Batch 1300/44996 | Loss: 0.0000
[Epoch 2] Batch 1400/44996 | Loss: 0.0002
[Epoch 2] Batch 1500/44996 | Loss: 0.0000
[Epoch 2] Batch 1600/44996 | Loss: 0.0000
[Epoch 2] Batch 1700/44996 | Loss: 0.0000
[Epoch 2] Batch 1800/44996 | Loss: 0.0000
[Epoch 2] Batch 1900/44996 | Loss: 0.0000
[Epoch 2] Batch 2000/44996 | Loss: 0.0000
[Epoch 2] Batch 2100/44996 | Loss: 0.0000
[Epoch 2] Batch 2200/44996 | Loss: 0.0000
[Epoch 2] Batch 2300/44996 | Loss: 0.0000
[Epoch 2] Batch 2400/44996 | Loss: 0.0000
[Epoch 2] Batch 2500/44996 | Loss: 0.0000
[Epoch 2] Batch 2600/44996 | Loss: 0.0000
[Epoch 2] Batch 2700/44996 | Loss: 0.0001
[Epoch 2] Batch 2800/44996 | Loss: 0.0000
[Epoch 2] Batch 2900/44996 | Loss: 0.0000
[Epoch 2] Batch 3000/44996 | Loss: 0.0000
[Epoch 2] Batch 3100/44996 | Loss: 0.0000
[Epoch 2] Batch 3200/44996 | Loss: 0.0000
